"date","Province","Cases","Deaths","Recovered","Tests","...7","...8","...9"
2020-03-19,"STGO",3,0,0,0,NA,NA,NA
2020-03-19,"PPLATA",3,0,0,0,NA,NA,NA
2020-03-19,"ALT",2,0,0,0,NA,NA,NA
2020-03-19,"SD",2,0,0,0,NA,NA,NA
2020-03-19,"MIRABAL",2,0,0,0,NA,NA,NA
2020-03-19,"DTE",2,0,0,0,NA,NA,NA
2020-03-19,"SPM",1,0,0,0,NA,NA,NA
2020-03-19,"SJUAN",1,0,0,0,NA,NA,NA
2020-03-19,"AZUA",0,0,0,0,NA,NA,NA
2020-03-19,"BAO",0,0,0,0,NA,NA,NA
2020-03-19,"BARA",0,0,0,0,NA,NA,NA
2020-03-19,"DJBON",0,0,0,0,NA,NA,NA
2020-03-19,"EP",0,0,0,0,NA,NA,NA
2020-03-19,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-19,"ESP",0,0,0,0,NA,NA,NA
2020-03-19,"IND",0,0,0,0,NA,NA,NA
2020-03-19,"ROM",0,0,0,0,NA,NA,NA
2020-03-19,"VEGA",0,0,0,0,NA,NA,NA
2020-03-19,"MTS",0,0,0,0,NA,NA,NA
2020-03-19,"MC",0,0,0,0,NA,NA,NA
2020-03-19,"PED",0,0,0,0,NA,NA,NA
2020-03-19,"PERV",0,0,0,0,NA,NA,NA
2020-03-19,"SCBAL",0,0,0,0,NA,NA,NA
2020-03-19,"SRAM",0,0,0,0,NA,NA,NA
2020-03-19,"SROD",0,0,0,0,NA,NA,NA
2020-03-19,"VALV",0,0,0,0,NA,NA,NA
2020-03-19,"NOUEL",0,0,0,0,NA,NA,NA
2020-03-19,"MPLATA",0,0,0,0,NA,NA,NA
2020-03-19,"HMAYOR",0,0,0,0,NA,NA,NA
2020-03-19,"OCOA",0,0,0,0,NA,NA,NA
2020-03-20,"DN",51,0,0,0,NA,NA,NA
2020-03-20,"AZUA",2,0,0,0,NA,NA,NA
2020-03-20,"BAO",0,0,0,0,NA,NA,NA
2020-03-20,"BARA",1,0,0,0,NA,NA,NA
2020-03-20,"DJBON",0,0,0,0,NA,NA,NA
2020-03-20,"DTE",4,1,0,0,NA,NA,NA
2020-03-20,"EP",0,0,0,0,NA,NA,NA
2020-03-20,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-20,"ESP",1,0,0,0,NA,NA,NA
2020-03-20,"IND",0,0,0,0,NA,NA,NA
2020-03-20,"ALT",7,0,0,0,NA,NA,NA
2020-03-20,"ROM",0,0,0,0,NA,NA,NA
2020-03-20,"VEGA",4,0,0,0,NA,NA,NA
2020-03-20,"MTS",2,0,0,0,NA,NA,NA
2020-03-20,"MC",0,0,0,0,NA,NA,NA
2020-03-20,"PED",NA,NA,0,0,NA,NA,NA
2020-03-20,"PERV",NA,NA,0,0,NA,NA,NA
2020-03-20,"PPLATA",NA,NA,0,0,NA,NA,NA
2020-03-20,"MIRABAL",2,0,0,0,NA,NA,NA
2020-03-20,"SAM",4,0,0,0,NA,NA,NA
2020-03-20,"SCBAL",1,0,0,0,NA,NA,NA
2020-03-20,"SJUAN",1,1,0,0,NA,NA,NA
2020-03-20,"SPM",4,1,0,0,NA,NA,NA
2020-03-20,"SRAM",0,0,0,0,NA,NA,NA
2020-03-20,"STGO",12,0,0,0,NA,NA,NA
2020-03-20,"SROD",0,0,0,0,NA,NA,NA
2020-03-20,"VALV",1,0,0,0,NA,NA,NA
2020-03-20,"NOUEL",1,0,0,0,NA,NA,NA
2020-03-20,"MPLATA",1,0,0,0,NA,NA,NA
2020-03-20,"HMAYOR",0,0,0,0,NA,NA,NA
2020-03-20,"OCOA",0,0,0,0,NA,NA,NA
2020-03-20,"SD",10,0,0,0,NA,NA,NA
2020-03-21,"DN",88,0,0,0,NA,NA,NA
2020-03-21,"AZUA",2,0,0,0,NA,NA,NA
2020-03-21,"BAO",0,0,0,0,NA,NA,NA
2020-03-21,"BARA",1,0,0,0,NA,NA,NA
2020-03-21,"DJBON",0,0,0,0,NA,NA,NA
2020-03-21,"DTE",8,1,0,0,NA,NA,NA
2020-03-21,"EP",0,0,0,0,NA,NA,NA
2020-03-21,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-21,"ESP",1,0,0,0,NA,NA,NA
2020-03-21,"IND",0,0,0,0,NA,NA,NA
2020-03-21,"ALT",7,0,0,0,NA,NA,NA
2020-03-21,"ROM",3,0,0,0,NA,NA,NA
2020-03-21,"VEGA",7,0,0,0,NA,NA,NA
2020-03-21,"MTS",2,0,0,0,NA,NA,NA
2020-03-21,"MC",0,0,0,0,NA,NA,NA
2020-03-21,"PED",0,0,0,0,NA,NA,NA
2020-03-21,"PERV",0,0,0,0,NA,NA,NA
2020-03-21,"PPLATA",3,0,0,0,NA,NA,NA
2020-03-21,"MIRABAL",2,0,0,0,NA,NA,NA
2020-03-21,"SAM",4,0,0,0,NA,NA,NA
2020-03-21,"SCBAL",1,0,0,0,NA,NA,NA
2020-03-21,"SJUAN",2,1,0,0,NA,NA,NA
2020-03-21,"SPM",6,1,0,0,NA,NA,NA
2020-03-21,"SRAM",1,0,0,0,NA,NA,NA
2020-03-21,"STGO",29,0,0,0,NA,NA,NA
2020-03-21,"SROD",0,0,0,0,NA,NA,NA
2020-03-21,"VALV",1,0,0,0,NA,NA,NA
2020-03-21,"NOUEL",2,0,0,0,NA,NA,NA
2020-03-21,"MPLATA",1,0,0,0,NA,NA,NA
2020-03-21,"HMAYOR",0,0,0,0,NA,NA,NA
